trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.5, 'e': 0.9937873299977285}",20,0,-76.57605481506818,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.993611280672759}",20,0,-100.96860361074863,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9934327796992604}",25,0,-68.43079063540245,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9932518275176682}",30,0,-172.48001440241183,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.993068424574466}",20,0,-103.64120276229106,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9928825713221845}",20,12,-5.183582845894327,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.9926942682194001}",20,0,-128.3804135240277,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9925035157307344}",30,0,-200.9838778909513,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9923103143268522}",20,0,-41.437440398605645,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9921146644844612}",20,5,-25.72000997135668,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9919165666863099}",25,0,-127.83400379677549,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9917160214211874}",20,0,-117.87373347066959,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9915130291839216}",20,14,-6.589584528461454,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.9913075904753779}",20,0,-151.69910374261954,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9910997058024582}",25,0,-99.9323366373454,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
