trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.995852681822204}",20,7,-18.936694570584415,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.9957568611080755}",25,0,-144.49401123267376,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.995659948419351}",25,0,-49.26289449824401,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9955619438623077}",30,0,-202.30798788895845,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.9954628475444199}",20,0,-95.30703598200542,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9953626595743598}",35,8,-74.99777779309431,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.9952613800619959}",30,0,-184.50722117635775,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9951590091183944}",30,0,-222.32845032425521,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.995055546855818}",20,0,-77.37026954608383,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9949509933877262}",20,0,-125.1331686636943,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9948453488287754}",25,14,-62.447630897184936,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.9947386132948183}",20,0,-41.41936803683772,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.994630786902904}",30,0,-102.3595850012984,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9945218697712779}",30,0,-180.05319294276444,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9944118620193816}",25,0,-70.31499882892162,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.9943007637678526}",20,0,-137.33722637737,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.9941885751385244}",20,4,-15.631182163960876,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.9940752962544261}",25,0,-120.72236175658963,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9939609272397826}",20,0,-78.38391532793136,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.993845468220014}",20,0,-135.898876917567,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9937289193217358}",20,0,-108.60077414801566,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.993611280672759}",20,0,-111.38600468472472,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
